Tmax(n208_TLPn208_des) X,Tmax(n208_TLPn208_des) Y,Tmax(n209_TLPn209_des) X,Tmax(n209_TLPn209_des) Y,Tmax(n210_TLPn210_des) X,Tmax(n210_TLPn210_des) Y,Tmax(n211_TLPn211_des) X,Tmax(n211_TLPn211_des) Y,Tmax(n212_TLPn212_des) X,Tmax(n212_TLPn212_des) Y,Tmax(n213_TLPn213_des) X,Tmax(n213_TLPn213_des) Y,Tmax(n214_TLPn214_des) X,Tmax(n214_TLPn214_des) Y,Tmax(n215_TLPn215_des) X,Tmax(n215_TLPn215_des) Y,Tmax(n299_TLPn299_des) X,Tmax(n299_TLPn299_des) Y,Tmax(n312_TLPn312_des) X,Tmax(n312_TLPn312_des) Y,Tmax(n325_TLPn325_des) X,Tmax(n325_TLPn325_des) Y,Tmax(n338_TLPn338_des) X,Tmax(n338_TLPn338_des) Y,Tmax(n351_TLPn351_des) X,Tmax(n351_TLPn351_des) Y,Tmax(n364_TLPn364_des) X,Tmax(n364_TLPn364_des) Y,Tmax(n377_TLPn377_des) X,Tmax(n377_TLPn377_des) Y,Tmax(n390_TLPn390_des) X,Tmax(n390_TLPn390_des) Y,Tmax(n403_TLPn403_des) X,Tmax(n403_TLPn403_des) Y,Tmax(n416_TLPn416_des) X,Tmax(n416_TLPn416_des) Y,Tmax(n429_TLPn429_des) X,Tmax(n429_TLPn429_des) Y,Tmax(n442_TLPn442_des) X,Tmax(n442_TLPn442_des) Y,Tmax(n455_TLPn455_des) X,Tmax(n455_TLPn455_des) Y,Tmax(n468_TLPn468_des) X,Tmax(n468_TLPn468_des) Y,Tmax(n481_TLPn481_des) X,Tmax(n481_TLPn481_des) Y,Tmax(n494_TLPn494_des) X,Tmax(n494_TLPn494_des) Y,Tmax(n507_TLPn507_des) X,Tmax(n507_TLPn507_des) Y,Tmax(n520_TLPn520_des) X,Tmax(n520_TLPn520_des) Y,Tmax(n533_TLPn533_des) X,Tmax(n533_TLPn533_des) Y,Tmax(n546_TLPn546_des) X,Tmax(n546_TLPn546_des) Y
-0.000147379,300,0.70792602,300.09059,0.80955539,301.03956,0.97998047,302.26341,1.0210684,303.27376,1.0563612,303.21009,1.0727464,303.60807,1.1034533,304.42195,0.39383721,299.9999,0.62116681,300.00673,0.84808175,302.16931,0.87414314,303.34414,0.89488563,304.5539,0.91340276,301.06671,0.92843733,307.05987,0.94288798,308.35087,0.95625156,301.77561,0.96846383,302.01795,0.99091989,302.51184,1.001371,302.76311,1.0114024,303.01712,1.0304125,303.53295,1.0391158,302.81844,1.0478563,303.01345,1.0646518,303.4083,1.0806608,303.80934,1.0884089,304.0121,1.0960028,304.21631
-0.000147379,300,0.70790693,300.11123,0.80942416,301.27274,0.98005383,302.95758,1.0213442,304.28322,1.0568455,304.33274,1.0733744,304.87339,1.1044163,305.98074,0.46903052,299.99989,0.62116458,300.00856,0.84787896,302.65578,0.87390663,304.09434,0.8946474,305.57602,0.91334955,301.39213,0.92828087,308.64653,0.94281198,310.22908,0.95625651,302.31857,0.96850015,302.63594,0.99103584,303.28329,1.001535,303.61289,1.0116197,303.94625,1.0307521,304.62371,1.0394728,303.80128,1.0482749,304.06583,1.0652059,304.60194,1.0813667,305.14704,1.0891966,305.42284,1.0968762,305.70075
-0.000147379,300,0.70788402,300.13601,0.80926673,301.55252,0.98014163,303.79015,1.0216756,305.49436,1.0574067,305.67294,1.074108,306.38428,1.1055527,307.84305,0.51702476,299.99998,0.6211619,300.01076,0.84763575,303.23948,0.87362313,304.99451,0.89436214,306.80259,0.91328538,301.78231,0.92809489,310.55108,0.94272347,312.484,0.95626213,302.96968,0.96854344,303.37708,0.99117482,304.20861,1.0017317,304.63225,1.0118806,305.06089,1.0311602,305.93252,1.0398813,304.97428,1.0487572,305.32199,1.0658509,306.02706,1.0821938,306.74455,1.090122,307.1078,1.0979047,307.47398
-0.000147379,300,0.70785653,300.16574,0.80907786,301.88822,0.98024756,304.7895,1.022075,306.94871,1.0580817,307.28155,1.074991,308.1982,1.1069216,310.07999,0.53390202,300.00017,0.62115869,300.0134,0.84734409,303.93982,0.8732834,306.07463,0.89402072,308.27449,0.91320844,302.2505,0.92787425,312.83733,0.94262115,315.1914,0.95626916,303.75111,0.96859579,304.26663,0.99134239,305.3194,1.0019688,305.85606,1.012195,306.39923,1.0316521,307.50432,1.0403723,306.38192,1.0493372,306.82956,1.0666269,307.73779,1.0831895,308.66269,1.0912364,309.1312,1.0991435,309.60365
-0.000147379,300,0.70782354,300.20141,0.80885129,302.29099,0.98037563,305.98926,1.0225569,308.6955,1.0588956,309.21411,1.0760559,310.37799,1.1085741,312.76974,0.5381114,300.00044,0.62115483,300.01656,0.84699438,304.78009,0.87287638,307.37062,0.89361232,310.0408,0.91311625,302.81235,0.92761317,315.58185,0.94250397,318.44224,0.95627808,304.68908,0.96865932,305.33446,0.99154474,306.65309,1.002255,307.32559,1.0125744,308.00648,1.0322456,309.39245,1.0409642,308.0726,1.0500364,308.6405,1.0675627,309.79331,1.0843907,310.96806,1.092581,311.56343,1.1006385,312.16402
-0.000147379,300,0.70778397,300.24422,0.80857951,302.77422,0.98053072,307.42975,1.023139,310.79395,1.0598781,311.53661,1.0773419,312.99846,1.1105716,316.00563,0.53896929,300.00077,0.62115021,300.02035,0.84657513,305.78819,0.87238892,308.9256,0.89312413,312.16035,0.91300581,303.48663,0.92730521,318.87654,0.94237147,322.34572,0.95628951,305.81499,0.96873657,306.6164,0.99178942,308.25457,1.0026008,309.09043,1.0130328,309.937,1.0329626,311.66104,1.0416784,310.10381,1.0508804,310.81651,1.0686926,312.26397,1.0858416,313.73996,1.0942054,314.48838,1.1024452,315.2436
-0.000147379,300,0.70773647,300.29558,0.80825354,303.35396,0.98071882,309.15945,1.0238431,313.31536,1.0610654,314.32856,1.0788968,316.14981,1.1129894,319.90048,0.53911714,300.00117,0.62114466,300.02491,0.84607262,306.9976,0.87180536,310.79122,0.89254104,314.70367,0.91287358,304.29582,0.9269434,322.83149,0.94222424,327.03255,0.95630428,307.1666,0.96883074,308.1555,0.9920857,310.17787,1.0030192,311.21026,1.0135872,312.25622,1.0338299,314.3874,1.0425413,312.54472,1.0519001,313.43189,1.0700584,315.23459,1.0875964,317.07422,1.0961706,318.00748,1.1046314,318.94957
-0.000147379,300,0.70767949,300.35721,0.80786259,304.04944,0.98094745,311.23667,1.024696,316.34574,1.0625024,317.68599,1.0807796,319.94141,1.1159211,324.59128,0.53913831,300.00165,0.62113799,300.03038,0.84547045,308.44841,0.87110712,313.02937,0.89184535,317.75519,0.91271533,305.26695,0.92652053,327.57814,0.94206438,332.66778,0.95632352,308.78926,0.96894588,310.00353,0.99244508,312.488,1.0035264,313.75694,1.0142589,315.04299,1.0348805,317.66484,1.0435852,315.47877,1.0531338,316.5763,1.0717117,318.80787,1.0897218,321.08674,1.0985517,322.24351,1.1072813,323.4117
-0.000147378,300,0.70761111,300.43116,0.80739379,304.88373,0.98122597,313.73159,1.025731,319.98883,1.0642443,321.72542,1.0830635,324.50551,1.1194829,330.24473,0.53914019,300.00222,0.62113,300.03693,0.84474909,310.18867,0.87027223,315.7141,0.89101644,321.41576,0.91252603,306.43245,0.92602859,333.28491,0.94189718,339.43916,0.95634878,310.73749,0.96908711,312.22273,0.99288187,315.26324,1.0041422,316.81703,1.0150742,318.39238,1.0361557,321.60647,1.0448499,319.0067,1.0546291,320.35841,1.0737165,323.10796,1.092301,325.91819,1.1014422,327.34563,1.1104993,328.78782
-0.000147378,300,0.70752907,300.5199,0.8068317,305.88446,0.98156621,316.72865,1.0269899,324.37078,1.06636,326.58756,1.0858397,330.00286,1.1238207,337.06423,0.53913946,300.00291,0.62112041,300.0448,0.84388528,312.27584,0.86927483,318.93377,0.89003064,325.80511,0.91229974,307.83122,0.92546161,340.13947,0.94173239,347.57768,0.95638224,313.07683,0.96926099,314.888,0.99341402,318.59787,1.0048915,320.49488,1.0160658,322.41973,1.0377065,326.34858,1.0463852,323.25086,1.0564446,324.9094,1.0761524,328.28556,1.0954373,331.7396,1.1049589,333.49541,1.1144165,335.27029
