N1_contact TotalCurrent(n252_TLPn252_des) X,N1_contact TotalCurrent(n252_TLPn252_des) Y,N1_contact TotalCurrent(n253_TLPn253_des) X,N1_contact TotalCurrent(n253_TLPn253_des) Y,N1_contact TotalCurrent(n254_TLPn254_des) X,N1_contact TotalCurrent(n254_TLPn254_des) Y,N1_contact TotalCurrent(n255_TLPn255_des) X,N1_contact TotalCurrent(n255_TLPn255_des) Y,N1_contact TotalCurrent(n256_TLPn256_des) X,N1_contact TotalCurrent(n256_TLPn256_des) Y,N1_contact TotalCurrent(n257_TLPn257_des) X,N1_contact TotalCurrent(n257_TLPn257_des) Y,N1_contact TotalCurrent(n258_TLPn258_des) X,N1_contact TotalCurrent(n258_TLPn258_des) Y,N1_contact Temperature(n252_TLPn252_des) X,N1_contact Temperature(n252_TLPn252_des) Y,N1_contact Temperature(n253_TLPn253_des) X,N1_contact Temperature(n253_TLPn253_des) Y,N1_contact Temperature(n254_TLPn254_des) X,N1_contact Temperature(n254_TLPn254_des) Y,N1_contact Temperature(n255_TLPn255_des) X,N1_contact Temperature(n255_TLPn255_des) Y,N1_contact Temperature(n256_TLPn256_des) X,N1_contact Temperature(n256_TLPn256_des) Y,N1_contact Temperature(n257_TLPn257_des) X,N1_contact Temperature(n257_TLPn257_des) Y,N1_contact Temperature(n258_TLPn258_des) X,N1_contact Temperature(n258_TLPn258_des) Y
-,-,-,-,-,-,-,-,-,-,-,-,0.72957329,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72957329,300
-,-,-,-,-,-,-,-,-,-,-,-,0.728687,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.728687,300
-,-,-,-,-,-,-,-,-,-,-,-,0.72762392,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72762392,300
-,-,-,-,-,-,-,-,-,-,-,-,0.72634905,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72634905,300
-,-,-,-,-,-,-,-,-,-,-,-,0.72482045,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72482045,300
-,-,-,-,-,-,-,-,-,-,-,-,0.72298793,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72298793,300
-,-,-,-,-,-,-,-,-,-,-,-,0.72243818,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72243818,300
-,-,-,-,-,-,-,-,-,-,-,-,0.72177845,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72177845,300
-,-,-,-,-,-,-,-,-,-,-,-,0.72098703,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72098703,300
-,-,-,-,-,-,-,-,-,-,-,-,0.72003778,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.72003778,300
-,-,-,-,-,-,-,-,-,-,-,-,0.71889938,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.71889938,300
-,-,-,-,-,-,-,-,-,-,-,-,0.71753434,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.71753434,300
-,-,-,-,-,-,-,-,-,-,-,-,0.7158978,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.7158978,300
-,-,-,-,-,-,-,-,-,-,-,-,0.71540687,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.71540687,300
-,-,-,-,-,-,-,-,-,-,-,-,0.71481775,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.71481775,300
-,-,-,-,-,-,-,-,-,-,-,-,0.71411098,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.71411098,300
-,-,-,-,-,-,-,-,-,-,-,-,0.71326325,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.71326325,300
-,-,-,-,-,-,-,-,-,-,-,-,0.71224655,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.71224655,300
-,-,-,-,-,-,-,-,-,-,-,-,0.71102737,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.71102737,300
-,-,-,-,-,-,-,-,-,-,-,-,0.70956562,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.70956562,300
-,-,-,-,-,-,-,-,-,-,-,-,0.70912714,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.70912714,300
-,-,-,-,-,-,-,-,-,-,-,-,0.70860096,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.70860096,300
-,-,-,-,-,-,-,-,-,-,-,-,0.70796969,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.70796969,300
